"昭和６０年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30000_和歌山県","1087206.0","225208.0","718380.0","143533.0","520172.0","115824.0","347063.0","57240.0","567034.0","109384.0","371317.0","86293.0","20.714381635127104","66.07579428369601","13.20200587561143","22.26648108702506","66.72081542259099","11.00405250570965","19.290554005579914","65.48408031969865","15.21831142400632"
"30201_和歌山市","401352.0","84472.0","274083.0","42764.0","192907.0","43434.0","132793.0","16662.0","208445.0","41038.0","141290.0","26102.0","21.046861607765752","68.2899300364767","10.654986146823736","22.51551265635773","68.83783377482415","8.637322647700705","19.687687399553838","67.78286838254695","12.522248075031783"
"30202_海南市","67218.0","12835.0","44372.0","10007.0","31767.0","6568.0","21267.0","3929.0","35451.0","6267.0","23105.0","6078.0","19.094587759231157","66.0120800975929","14.887381356184356","20.675543803317908","66.9468316177165","12.368180816570655","17.677921638317677","65.17446616456517","17.144791402217145"
"30203_橋本市","56755.0","12280.0","37324.0","7151.0","27245.0","6308.0","18099.0","2838.0","29510.0","5972.0","19225.0","4313.0","21.636860188529646","65.76336886617919","12.599770945291164","23.152872086621397","66.43053771334189","10.416590200036705","20.237207726194512","65.14740765842087","14.615384615384617"
"30204_有田市","35401.0","7696.0","23105.0","4600.0","16839.0","3887.0","11085.0","1867.0","18562.0","3809.0","12020.0","2733.0","21.73949888421231","65.26651789497471","12.993983220812972","23.083318486846014","65.82932478175664","11.087356731397351","20.520418058398878","64.75595302230363","14.723628919297491"
"30205_御坊市","30450.0","6421.0","20067.0","3962.0","14813.0","3321.0","9883.0","1609.0","15637.0","3100.0","10184.0","2353.0","21.08702791461412","65.90147783251231","13.011494252873563","22.419496388307568","66.71842300681834","10.862080604874096","19.824774573127836","65.12758201701094","15.047643409861228"
"30206_田辺市","88263.0","19055.0","56919.0","12281.0","42084.0","9773.0","27293.0","5016.0","46179.0","9282.0","29626.0","7265.0","21.58888775591131","64.487950783454","13.914097640007705","23.222602414219182","64.85362608117099","11.919019104647848","20.100045475216007","64.15470235388379","15.73225925204097"
"30207_新宮市","40465.0","8072.0","26363.0","6010.0","18984.0","4177.0","12378.0","2418.0","21481.0","3895.0","13985.0","3592.0","19.94810329914741","65.15012974175212","14.85234152971704","22.00273914875685","65.20227560050569","12.737041719342605","18.13230296541129","65.10404543550115","16.721754108281736"
"30208_紀の川市","64431.0","13083.0","42052.0","9296.0","30931.0","6670.0","20490.0","3771.0","33500.0","6413.0","21562.0","5525.0","20.30544303208083","65.2667194362962","14.427837531622977","21.564126604377485","66.24422100805018","12.191652387572338","19.143283582089552","64.36417910447761","16.492537313432837"
"30209_岩出市","28066.0","7115.0","18401.0","2550.0","13584.0","3682.0","8932.0","970.0","14482.0","3433.0","9469.0","1580.0","25.350958455070195","65.56331504311265","9.085726501817145","27.10541813898704","65.75382803297998","7.140753828032979","23.705289324678912","65.38461538461539","10.910095290705705"
