"平成２２年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30000_和歌山県","1002198.0","128005.0","594573.0","270846.0","471397.0","65421.0","289111.0","111904.0","530801.0","62584.0","305462.0","158942.0","12.88523329","59.8","27.26388732","14.02571843","61.98299445","23.99128712","11.875792239999999","57.9637487","30.1"
"30201_和歌山市","370364.0","46739.0","224708.0","94130.0","174104.0","23840.0","108578.0","39167.0","196260.0","22899.0","116130.0","54963.0","12.78499468","61.46666776","25.74833756","13.8939884","63.27942419","22.82658741","11.80409501","59.86329333","28.33261165"
"30202_海南市","54783.0","6344.0","31668.0","16629.0","25518.0","3234.0","15318.0","6880.0","29265.0","3110.0","16350.0","9749.0","11.61032924","57.95647957","30.43319119","12.71626298","60.23120478","27.05253224","10.6474032","55.97589784","33.37669896"
"30203_橋本市","66361.0","8739.0","41434.0","15979.0","31326.0","4423.0","19892.0","6837.0","35035.0","4316.0","21542.0","9142.0","13.21048494","62.63453864","24.15497642","14.19812532","63.85464818","21.9472265","12.33142857","61.54857143","26.12"
"30204_有田市","30592.0","4086.0","18195.0","8228.0","14436.0","2158.0","8860.0","3351.0","16156.0","1928.0","9335.0","4877.0","13.39276935","59.63813957","26.96909109","15.01844248","61.66051917","23.32103835","11.94547708","57.83767038","30.21685254"
"30205_御坊市","26111.0","3393.0","15682.0","6815.0","12620.0","1812.0","7930.0","2735.0","13491.0","1581.0","7752.0","4080.0","13.10544612","60.57164929","26.3229046","14.52272181","63.55694478","21.92033341","11.78707224","57.79467681","30.41825095"
"30206_田辺市","79119.0","10588.0","46181.0","22061.0","37243.0","5318.0","22628.0","9110.0","41876.0","5270.0","23553.0","12951.0","13.43143473","58.58302677","27.9855385","14.35125216","61.06433506","24.58441278","12.61550247","56.38196007","31.00253746"
"30207_新宮市","31498.0","3893.0","17789.0","9720.0","14551.0","2022.0","8594.0","3868.0","16947.0","1871.0","9195.0","5852.0","12.39729954","56.64925801","30.95344246","13.96023198","59.334438","26.70533002","11.05922686","54.35039603","34.59037711"
"30208_紀の川市","65840.0","8529.0","40197.0","16953.0","31139.0","4412.0","19567.0","7037.0","34701.0","4117.0","20630.0","9916.0","12.9858859","61.20221075","25.81190335","14.22491617","63.08679391","22.68828991","11.87721778","59.51591034","28.60687188"
"30209_岩出市","52882.0","8580.0","33508.0","8625.0","25530.0","4332.0","16226.0","3741.0","27352.0","4248.0","17282.0","4884.0","16.91873878","66.07378779","17.00747343","17.82789415","66.77641055","15.3956953","16.08238056","65.42742485","18.49019459"
"30304_紀美野町","10391.0","878.0","5474.0","4039.0","4774.0","451.0","2708.0","1615.0","5617.0","427.0","2766.0","2424.0","8.449619863","52.68020402","38.87017611","9.447004608","56.72392124","33.82907415","7.601922735","49.24336835","43.15470892"
"30341_かつらぎ町","18230.0","1946.0","10393.0","5883.0","8502.0","995.0","5100.0","2402.0","9728.0","951.0","5293.0","3481.0","10.67939853","57.03545165","32.28514982","11.7100153","60.02118395","28.26880075","9.778920309","54.42673522","35.79434447"
"30343_九度山町","4963.0","471.0","2698.0","1783.0","2268.0","226.0","1293.0","743.0","2695.0","245.0","1405.0","1040.0","9.511308562","54.48303716","36.00565428","9.991158267","57.16180371","32.84703802","9.107806691","52.23048327","38.66171004"
"30344_高野町","3975.0","259.0","2241.0","1439.0","2043.0","139.0","1313.0","561.0","1932.0","120.0","928.0","878.0","6.575272912","56.89261234","36.53211475","6.905116741","65.2260308","27.86885246","6.230529595","48.1827622","45.5867082"
"30361_湯浅町","13210.0","1676.0","7838.0","3696.0","6192.0","835.0","3845.0","1512.0","7018.0","841.0","3993.0","2184.0","12.68735806","59.333838","27.97880394","13.48514212","62.09625323","24.41860465","11.98347107","56.89655172","31.1199772"
"30362_広川町","7714.0","1031.0","4639.0","2044.0","3585.0","505.0","2257.0","823.0","4129.0","526.0","2382.0","1221.0","13.36530983","60.1374125","26.49727768","14.08647141","62.9567643","22.9567643","12.73916202","57.6895132","29.57132478"
"30366_有田川町","27162.0","3712.0","15178.0","8208.0","12806.0","1890.0","7474.0","3407.0","14356.0","1822.0","7704.0","4801.0","13.69842793","56.01151376","30.29005831","14.79915433","58.52321666","26.677629","12.71724716","53.77259719","33.51015565"
"30381_美浜町","8077.0","1010.0","4629.0","2434.0","3724.0","505.0","2254.0","963.0","4353.0","505.0","2375.0","1471.0","12.5108386","57.33927908","30.14988232","13.56797421","60.55883933","25.87318646","11.60652724","54.58515284","33.80831993"
