"平成１７年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30000_和歌山県","1035969.0","142670.0","642428.0","249473.0","488022.0","73118.0","311230.0","102854.0","547947.0","69552.0","331198.0","146619.0","13.771647607216044","62.01228029024034","24.081125979638387","14.982521279778371","63.77376429751118","21.075689210732303","12.693198429775144","60.443437047743664","26.757879867943434"
"30201_和歌山市","375591.0","50646.0","241442.0","82838.0","176825.0","26032.0","116098.0","34302.0","198766.0","24614.0","125344.0","48536.0","13.484348666501594","64.28322297392643","22.05537406380877","14.72190018379754","65.65700551392621","19.398840661671144","12.383405612629925","63.06108690621133","24.418663151645653"
"30202_海南市","57744.0","7144.0","34618.0","15813.0","26945.0","3705.0","16615.0","6520.0","30799.0","3439.0","18003.0","9293.0","12.371848157384317","59.95081740094209","27.384663341645886","13.750231953980329","61.662646131007605","24.197439228057153","11.165946946329425","58.453196532354944","30.17305756680412"
"30203_橋本市","68529.0","9900.0","44564.0","14061.0","32366.0","5004.0","21528.0","5830.0","36163.0","4896.0","23036.0","8231.0","14.446438733966641","65.02940361015045","20.518320710939893","15.460668602854849","66.51424334177841","18.01272940740283","13.538699776014157","63.70046732848491","22.760832895500926"
"30204_有田市","32143.0","4680.0","19875.0","7584.0","15078.0","2403.0","9602.0","3070.0","17065.0","2277.0","10273.0","4514.0","14.559935289176492","61.833058519739915","23.59456180194755","15.937126939912455","63.68218596630852","20.360790555776628","13.343099912100792","60.199238206856144","26.451801933782598"
"30205_御坊市","27053.0","3889.0","16437.0","6531.0","13103.0","2065.0","8269.0","2651.0","13950.0","1824.0","8168.0","3880.0","14.37548515876243","60.7585110708609","24.14150001848224","15.759749675646798","63.10768526291689","20.23200793711364","13.075268817204302","58.551971326164875","27.813620071684586"
"30206_田辺市","82499.0","11843.0","49799.0","20829.0","39038.0","6071.0","24188.0","8762.0","43461.0","5772.0","25611.0","12067.0","14.355325519097201","60.363155917041425","25.24757875853041","15.551513909524054","61.96014140068651","22.444797376914803","13.280872506385036","58.928694691792636","27.765122753733234"
"30207_新宮市","33790.0","4513.0","19676.0","9375.0","15605.0","2312.0","9421.0","3757.0","18185.0","2201.0","10255.0","5618.0","13.356022491861497","58.230245634803204","27.74489493933116","14.815764178148031","60.37167574495355","24.075616789490546","12.103381908166071","56.39263128952433","30.893593621116306"
"30208_紀の川市","67862.0","9749.0","42374.0","15674.0","32159.0","5025.0","20564.0","6527.0","35703.0","4724.0","21810.0","9147.0","14.365919071055966","62.44142524535086","23.096873065927912","15.625485867097858","63.94477440218912","20.29602910538263","13.231381116432791","61.08730358793378","25.619695823880345"
"30209_岩出市","50834.0","9503.0","34454.0","6873.0","24446.0","4772.0","16778.0","2892.0","26388.0","4731.0","17676.0","3981.0","18.694181059920524","67.77747177086202","13.520478419955149","19.520575963347785","68.63290517876135","11.830156262783277","17.928603910868578","66.9849931787176","15.086402910413824"
"30304_紀美野町","11643.0","1146.0","6403.0","4094.0","5387.0","597.0","3155.0","1635.0","6256.0","549.0","3248.0","2459.0","9.84282401442927","54.99441724641415","35.16275873915657","11.082235010209764","58.56692036383887","30.35084462595136","8.775575447570333","51.91815856777494","39.30626598465473"
"30341_かつらぎ町","19670.0","2328.0","11699.0","5643.0","9261.0","1201.0","5742.0","2318.0","10409.0","1127.0","5957.0","3325.0","11.835282155566853","59.4763599389934","28.688357905439755","12.968361947953785","62.0019436345967","25.029694417449523","10.827168796234028","57.22932078009415","31.94351042367182"
"30343_九度山町","5516.0","582.0","3181.0","1750.0","2551.0","295.0","1524.0","730.0","2965.0","287.0","1657.0","1020.0","10.551124002900652","57.66860043509789","31.725888324873097","11.564092512740103","59.74127793022345","28.61622892983144","9.679595278246206","55.885328836424954","34.40134907251265"
"30344_高野町","4632.0","337.0","2799.0","1496.0","2414.0","173.0","1635.0","606.0","2218.0","164.0","1164.0","890.0","7.275474956822108","60.42746113989638","32.29706390328152","7.166528583264292","67.72990886495444","25.103562551781277","7.39404869251578","52.479711451758334","40.126239855725885"
"30361_湯浅町","14742.0","1953.0","9129.0","3656.0","6853.0","972.0","4460.0","1420.0","7889.0","981.0","4669.0","2236.0","13.247863247863249","61.92511192511192","24.799891466558133","14.183569239749014","65.08098642930103","20.72085218152634","12.435036126251743","59.183673469387756","28.343262770946886"
"30362_広川町","8071.0","1101.0","5065.0","1891.0","3802.0","548.0","2464.0","784.0","4269.0","553.0","2601.0","1107.0","13.641432288440095","62.755544542188076","23.429562631644156","14.413466596528144","64.80799579168858","20.620725933719093","12.95385336144296","60.92761770906535","25.931131412508783"
"30366_有田川町","28640.0","4149.0","16226.0","8259.0","13561.0","2118.0","7948.0","3490.0","15079.0","2031.0","8278.0","4769.0","14.486731843575418","56.65502793296089","28.837290502793294","15.618317233242388","58.60924710567067","25.73556522380355","13.469062935207903","54.89753962464354","31.62676570064328"
"30381_美浜町","8462.0","1132.0","5044.0","2286.0","3905.0","595.0","2411.0","899.0","4557.0","537.0","2633.0","1387.0","13.377452138974238","59.60765776412196","27.014890096903805","15.236875800256081","61.741357234314975","23.021766965428938","11.784068466096116","57.77924072854949","30.4366908053544"
"30382_日高町","7344.0","1165.0","4224.0","1955.0","3469.0","592.0","2032.0","845.0","3875.0","573.0","2192.0","1110.0","15.863289760348584","57.51633986928104","26.620370370370374","17.06543672528106","58.57595848947823","24.358604785240704","14.787096774193548","56.56774193548387","28.64516129032258"
"30383_由良町","7179.0","919.0","4331.0","1928.0","3448.0","492.0","2169.0","787.0","3731.0","427.0","2162.0","1141.0","12.801225797464827","60.32873659284023","26.85610809304917","14.269141531322504","62.906032482598604","22.824825986078885","11.44465290806754","57.94693111766283","30.58161350844278"
"30390_印南町","9192.0","1267.0","5273.0","2652.0","4356.0","663.0","2587.0","1106.0","4836.0","604.0","2686.0","1546.0","13.783724978241949","57.365100087032204","28.851174934725847","15.22038567493113","59.38934802571166","25.390266299357204","12.48966087675765","55.541770057899086","31.96856906534326"
"30391_みなべ町","14200.0","2253.0","8327.0","3620.0","6765.0","1144.0","4085.0","1536.0","7435.0","1109.0","4242.0","2084.0","15.86619718309859","58.64084507042253","25.492957746478872","16.910569105691057","60.38433111603844","22.705099778270508","14.91593813046402","57.05447209145932","28.029589778076662"
